id|title|body|department|sentiment|preprocessed_body
37|Servizio di manutenzione...|Servizio di manutenzione impeccabile. Camera sempre in ordine e tutto funzionante alla perfezione.|Housekeeping|pos|servizio di manutenzione impeccabile camera sempre in ordine e tutto funzionante alla perfezione
38|Bagno e camera...|Bagno e camera sempre puliti. Struttura accogliente e piacevole.|Housekeeping|pos|bagno e camera sempre puliti struttura accogliente e piacevole
39|Servizi e camera...|Servizi e camera sempre puliti. Struttura accogliente e piacevole.|Housekeeping|pos|servizi e camera sempre puliti struttura accogliente e piacevole
40|Igiene irreprensibile e...|Igiene irreprensibile e massima disponibilità da parte dei dipendenti dell'albergo|Housekeeping|pos|igiene irreprensibile e massima disponibilità da parte dei dipendenti dell albergo
41|Igiene irreprensibile e...|Igiene irreprensibile e massima disponibilità da parte dei dipendenti hotel.|Housekeeping|pos|igiene irreprensibile e massima disponibilità da parte dei dipendenti hotel
42|Igiene ineccepibile e...|Igiene ineccepibile e massima disponibilità da parte dei dipendenti dell'albergo|Housekeeping|pos|igiene ineccepibile e massima disponibilità da parte dei dipendenti dell albergo
43|Igiene ineccepibile e...|Igiene ineccepibile e massima disponibilità da parte dei dipendenti hotel.|Housekeeping|pos|igiene ineccepibile e massima disponibilità da parte dei dipendenti hotel
44|Cura in ogni...|Cura in ogni dettaglio dell'arredamento. Ambienti spaziosi e sempre in ordine.|Housekeeping|pos|cura in ogni dettaglio dell arredamento ambienti spaziosi e sempre in ordine
45|Arredi delle camere...|Arredi delle camere moderni e funzionali. Struttura nuova e ben tenuta.|Housekeeping|pos|arredi delle camere moderni e funzionali struttura nuova e ben tenuta
46|Camera molto bella...|Camera molto bella e spaziosa, pulita ed in ordine. Ottimo personale.|Housekeeping|pos|camera molto bella e spaziosa pulita ed in ordine ottimo personale
47|Ambienti puliti e...|Ambienti puliti e decorosi. Personale serio e preparato.|Housekeeping|pos|ambienti puliti e decorosi personale serio e preparato
48|Ambienti puliti e...|Ambienti puliti e decorosi. Personale affidabile e preparato.|Housekeeping|pos|ambienti puliti e decorosi personale affidabile e preparato
49|Camera già pronta...|Camera già pronta al mio arrivo ed in perfette condizioni. Ottimo rapporto qualità-prezzo.|Housekeeping|pos|camera già pronta al mio arrivo ed in perfette condizioni ottimo rapporto qualità prezzo
50|Camera già pronta...|Camera già pronta al mio arrivo ed in ottime condizioni. Ottimo rapporto qualità-prezzo.|Housekeeping|pos|camera già pronta al mio arrivo ed in ottime condizioni ottimo rapporto qualità prezzo
51|Hotel confortevole, pulito...|Hotel confortevole, pulito e a buon prezzo. Posizione strategica a due passi dal centro.|Housekeeping|pos|hotel confortevole pulito e a buon prezzo posizione strategica a due passi dal centro
52|Siamo stati sistemati...|Siamo stati sistemati in due comodissime camere comunicanti ideali per una famiglia.|Housekeeping|pos|siamo stati sistemati in due comodissime camere comunicanti ideali per una famiglia
53|Hotel dotato di...|Hotel dotato di ogni comfort, pulizia estrema, camere ampie, nuove e ben arredate.|Housekeeping|pos|hotel dotato di ogni comfort pulizia estrema camere ampie nuove e ben arredate
54|Una perla rara...|Una perla rara in termini di attenzione al cliente, comodità e pulizia delle camere.|Housekeeping|pos|una perla rara in termini di attenzione al cliente comodità e pulizia delle camere
55|Una perla rara...|Una perla rara in termini di attenzione al cliente, confort e pulizia delle camere.|Housekeeping|pos|una perla rara in termini di attenzione al cliente confort e pulizia delle camere
56|Una perla rara...|Una perla rara in fatto di attenzione al cliente, comodità e pulizia delle camere.|Housekeeping|pos|una perla rara in fatto di attenzione al cliente comodità e pulizia delle camere
57|Una perla rara...|Una perla rara in fatto di attenzione al cliente, confort e pulizia delle camere.|Housekeeping|pos|una perla rara in fatto di attenzione al cliente confort e pulizia delle camere
58|Hotel ricco di...|Hotel ricco di semplici dettagli che rendono estremamente confortevole il soggiorno.|Housekeeping|pos|hotel ricco di semplici dettagli che rendono estremamente confortevole il soggiorno
59|Hotel ricco di...|Hotel ricco di piccoli dettagli che rendono estremamente confortevole il soggiorno.|Housekeeping|pos|hotel ricco di piccoli dettagli che rendono estremamente confortevole il soggiorno
60|Struttura comoda e...|Struttura comoda e con personale cortese Camere spaziose. Perfetto per un viaggio di lavoro.|Housekeeping|pos|struttura comoda e con personale cortese camere spaziose perfetto per un viaggio di lavoro
61|Struttura comoda e...|Struttura comoda e con personale gentile. Camere spaziose. Perfetto per un viaggio di lavoro.|Housekeeping|pos|struttura comoda e con personale gentile camere spaziose perfetto per un viaggio di lavoro
62|Ambiente tranquillo personale...|Ambiente tranquillo personale disponibile, stanze ben curate e sempre in ordine.|Housekeeping|pos|ambiente tranquillo personale disponibile stanze ben curate e sempre in ordine
63|Ambiente silenzioso, personale...|Ambiente silenzioso, personale disponibile, stanze ben curate e sempre in ordine.|Housekeeping|pos|ambiente silenzioso personale disponibile stanze ben curate e sempre in ordine
64|Atmosfera classica e...|Atmosfera classica e arredi delle camere in legno rendono l'ambiente molto accogliente.|Housekeeping|pos|atmosfera classica e arredi delle camere in legno rendono l ambiente molto accogliente
65|Camera piacevole ed...|Camera piacevole ed accogliente, con una curiosa (ma funzionale) grande doccia esterna al bagno.|Housekeeping|pos|camera piacevole ed accogliente con una curiosa ma funzionale grande doccia esterna al bagno
66|Camera piacevole ed...|Camera piacevole ed accogliente, con una curiosa (ma funzionale) grande vasca esterna al bagno.|Housekeeping|pos|camera piacevole ed accogliente con una curiosa ma funzionale grande vasca esterna al bagno
67|Pulizia e ottimo...|Pulizia e ottimo rapporto qualità-prezzo.|Housekeeping|pos|pulizia e ottimo rapporto qualità prezzo
68|Igiene e ottimo...|Igiene e ottimo rapporto qualità-prezzo.|Housekeeping|pos|igiene e ottimo rapporto qualità prezzo
69|Stanze con tutti...|Stanze con tutti i requisiti confortevoli e ben curate Bella esperienza.|Housekeeping|pos|stanze con tutti i requisiti confortevoli e ben curate bella esperienza
70|Stanze con tutti...|Stanze con tutti i requisiti confortevoli e ben tenute. Bella esperienza.|Housekeeping|pos|stanze con tutti i requisiti confortevoli e ben tenute bella esperienza
71|Stanze con tutti...|Stanze con tutti i pregi, confortevoli e ben curate Bella esperienza.|Housekeeping|pos|stanze con tutti i pregi confortevoli e ben curate bella esperienza
72|Stanze con tutti...|Stanze con tutti i pregi, confortevoli e ben tenute. Bella esperienza.|Housekeeping|pos|stanze con tutti i pregi confortevoli e ben tenute bella esperienza
73|Camera, bagno e...|Camera, bagno e doccia molto spaziosi e ben arredati.|Housekeeping|pos|camera bagno e doccia molto spaziosi e ben arredati
74|Stanze pulite e...|Stanze pulite e accoglienti, arredate in legno stile classico, danno una bella sensazione di calore.|Housekeeping|pos|stanze pulite e accoglienti arredate in legno stile classico danno una bella sensazione di calore
75|Camera confortevole e...|Camera confortevole e silenziosa albergo in ottima posizione. Promosso in pieno.|Housekeeping|pos|camera confortevole e silenziosa albergo in ottima posizione promosso in pieno
76|Camera confortevole e...|Camera confortevole e silenziosa struttura in ottima posizione. Promosso in pieno.|Housekeeping|pos|camera confortevole e silenziosa struttura in ottima posizione promosso in pieno
77|Camera confortevole e...|Camera confortevole e tranquilla, albergo in ottima posizione. Promosso in pieno.|Housekeeping|pos|camera confortevole e tranquilla albergo in ottima posizione promosso in pieno
78|Camera confortevole e...|Camera confortevole e tranquilla, struttura in ottima posizione. Promosso in pieno.|Housekeeping|pos|camera confortevole e tranquilla struttura in ottima posizione promosso in pieno
79|Ottimo hotel, arredato...|Ottimo hotel, arredato finemente e con grande focus sull'igiene.|Housekeeping|pos|ottimo hotel arredato finemente e con grande focus sull igiene
80|Struttura ricettiva in...|Struttura ricettiva in cui nulla è lasciato al caso. Ottima la pulizia, estrema gentilezza, tranquillità.|Housekeeping|pos|struttura ricettiva in cui nulla é lasciato al caso ottima la pulizia estrema gentilezza tranquillità
81|Albergo molto confortevole....|Albergo molto confortevole. Camera ben riscaldata e silenziosa.|Housekeeping|pos|albergo molto confortevole camera ben riscaldata e silenziosa
82|Albergo parecchio confortevole....|Albergo parecchio confortevole. Camera ben riscaldata e silenziosa.|Housekeeping|pos|albergo parecchio confortevole camera ben riscaldata e silenziosa
83|Albergo realmente confortevole....|Albergo realmente confortevole. Camera ben riscaldata e silenziosa.|Housekeeping|pos|albergo realmente confortevole camera ben riscaldata e silenziosa
84|Ambiente pulito e...|Ambiente pulito e ordinato. Voto 10! Consigliato|Housekeeping|pos|ambiente pulito e ordinato voto 10 consigliato
85|Ambiente pulito e...|Ambiente pulito e ordinato. Voto 10! Promosso!|Housekeeping|pos|ambiente pulito e ordinato voto 10 promosso
86|La camera era...|La camera era spaziosa, ben arredata e pulita, così conme pure i servizi igienici.|Housekeeping|pos|la camera era spaziosa ben arredata e pulita così conme pure i servizi igienici
87|Letto comodo e...|Letto comodo e stanza grande. Ottimo pernottamento|Housekeeping|pos|letto comodo e stanza grande ottimo pernottamento
88|Letto comodo e...|Letto comodo e stanza grande. Ottimo soggiorno.|Housekeeping|pos|letto comodo e stanza grande ottimo soggiorno
89|Letto confortevole e...|Letto confortevole e stanza grande. Ottimo pernottamento|Housekeeping|pos|letto confortevole e stanza grande ottimo pernottamento
90|Letto confortevole e...|Letto confortevole e stanza grande. Ottimo soggiorno.|Housekeeping|pos|letto confortevole e stanza grande ottimo soggiorno
91|Non manca nessun...|Non manca nessun confort: camere arredate elegantemente, bagni nuovi e doccia molto spaziosa.|Housekeeping|pos|non manca nessun confort camere arredate elegantemente bagni nuovi e doccia molto spaziosa
92|hotel carino e...|hotel carino e ben curato Camere silenziose e ben arredate|Housekeeping|pos|hotel carino e ben curato camere silenziose e ben arredate
93|hotel carino e...|hotel carino e ben curato Camere silenziose e ben ammobiliate.|Housekeeping|pos|hotel carino e ben curato camere silenziose e ben ammobiliate
94|hotel carino e...|hotel carino e ben tenuto. Camere silenziose e ben arredate|Housekeeping|pos|hotel carino e ben tenuto camere silenziose e ben arredate
95|hotel carino e...|hotel carino e ben tenuto. Camere silenziose e ben ammobiliate.|Housekeeping|pos|hotel carino e ben tenuto camere silenziose e ben ammobiliate
96|Accoglienza, comfort e...|Accoglienza, comfort e praticità. Stanza comoda e funzionale.|Housekeeping|pos|accoglienza comfort e praticità stanza comoda e funzionale
97|L'hotel è molto...|L'hotel è molto bello: pulito, nuovo, ben arredato e comodo.|Housekeeping|pos|l hotel é molto bello pulito nuovo ben arredato e comodo
98|Molto accogliente e...|Molto accogliente e dai contorni sobri. Eccellente la camera riservataci.|Housekeeping|pos|molto accogliente e dai contorni sobri eccellente la camera riservataci
99|Materasso ortopedico ideale...|Materasso ortopedico ideale per riposare bene. Bagno piccolo ma pulito.|Housekeeping|pos|materasso ortopedico ideale per riposare bene bagno piccolo ma pulito
100|Nessuna traccia di...|Nessuna traccia di polvere o sporcizia in nessun angolo della camera. Controllato personalmente.|Housekeeping|pos|nessuna traccia di polvere o sporcizia in nessun angolo della camera controllato personalmente
101|Le camere sono...|Le camere sono dotate di TV a schermo piatto, aria condizionata e minibar per il massimo comfort.|Housekeeping|pos|le camere sono dotate di tv a schermo piatto aria condizionata e minibar per il massimo comfort
102|L'arredamento è accogliente,...|L'arredamento è accogliente, con interni di alta qualità e camere sempre immacolate. Relax totale.|Housekeeping|pos|l arredamento é accogliente con interni di alta qualità e camere sempre immacolate relax totale
103|Ambiente caldo e...|Ambiente caldo e familiare molto ben curato ideale per famiglie.|Housekeeping|pos|ambiente caldo e familiare molto ben curato ideale per famiglie
104|Ambiente caldo e...|Ambiente caldo e familiare molto ben curato perfetto per famiglie.|Housekeeping|pos|ambiente caldo e familiare molto ben curato perfetto per famiglie
105|Ambiente caldo e...|Ambiente caldo e familiare molto ben tenuto, ideale per famiglie.|Housekeeping|pos|ambiente caldo e familiare molto ben tenuto ideale per famiglie
106|Ambiente caldo e...|Ambiente caldo e familiare molto ben tenuto, perfetto per famiglie.|Housekeeping|pos|ambiente caldo e familiare molto ben tenuto perfetto per famiglie
107|Pulizia impeccabile uno...|Pulizia impeccabile uno dei migliori pernottamenti mai fatti.|Housekeeping|pos|pulizia impeccabile uno dei migliori pernottamenti mai fatti
108|Pulizia ineccepibile, uno...|Pulizia ineccepibile, uno dei migliori pernottamenti mai fatti.|Housekeeping|pos|pulizia ineccepibile uno dei migliori pernottamenti mai fatti
109|Camera meravigliosa arredata...|Camera meravigliosa arredata con cura e attenzione e con tutto il necessario al suo interno.|Housekeeping|pos|camera meravigliosa arredata con cura e attenzione e con tutto il necessario al suo interno
110|Camera stupenda, arredata...|Camera stupenda, arredata con cura e attenzione e con tutto il necessario al suo interno.|Housekeeping|pos|camera stupenda arredata con cura e attenzione e con tutto il necessario al suo interno
111|Camera pulita e...|Camera pulita e confortevole con ottima vista panoramica. Personale di pulizia sempre presente e disponibile.|Housekeeping|pos|camera pulita e confortevole con ottima vista panoramica personale di pulizia sempre presente e disponibile
112|Camera Executive con...|Camera Executive con vista, curata, pulita e ben arredata.|Housekeeping|pos|camera executive con vista curata pulita e ben arredata
113|Camera Executive con...|Camera Executive con vista, curata, immacolata e ben arredata.|Housekeeping|pos|camera executive con vista curata immacolata e ben arredata
114|Servizio lavanderia, tv...|Servizio lavanderia, tv e aria condizionata, frigobar ben fornito e wifi. Ottimo soggiorno.|Housekeeping|pos|servizio lavanderia tv e aria condizionata frigobar ben fornito e wifi ottimo soggiorno
115|Camera molto pulita...|Camera molto pulita e confortevole attrezzata con tutto ciò di cui potresti avere bisogno.|Housekeeping|pos|camera molto pulita e confortevole attrezzata con tutto ciò di cui potresti avere bisogno
116|Camera molto pulita...|Camera molto pulita e accogliente attrezzata con tutto ciò di cui potresti avere bisogno.|Housekeeping|pos|camera molto pulita e accogliente attrezzata con tutto ciò di cui potresti avere bisogno
117|Albergo accogliente, pulito...|Albergo accogliente, pulito e attrezzato. Personale disponibile e attento a qualsiasi esigenza.|Housekeeping|pos|albergo accogliente pulito e attrezzato personale disponibile e attento a qualsiasi esigenza
118|Albergo accogliente, pulito...|Albergo accogliente, pulito e attrezzato. Personale gentile e attento a qualsiasi esigenza.|Housekeeping|pos|albergo accogliente pulito e attrezzato personale gentile e attento a qualsiasi esigenza
119|B&b super accogliente,...|B&b super accogliente, camere pulite e arredate con cura.|Housekeeping|pos|b&b super accogliente camere pulite e arredate con cura
120|B&b super accogliente,...|B&b super accogliente, camere pulite e sistemate con cura.|Housekeeping|pos|b&b super accogliente camere pulite e sistemate con cura
121|Ottima struttura ricettiva....|Ottima struttura ricettiva. La camera era immacolata con una doccia eccellente.|Housekeeping|pos|ottima struttura ricettiva la camera era immacolata con una doccia eccellente
122|Struttura stupenda che...|Struttura stupenda che ti fa sentire come a casa. Ambiente familiare pulito e tranquillo.|Housekeeping|pos|struttura stupenda che ti fa sentire come a casa ambiente familiare pulito e tranquillo
123|L'albergo è ottimo...|L'albergo è ottimo e ben tenuto. Camere piccole ma molto accoglienti|Housekeeping|pos|l albergo é ottimo e ben tenuto camere piccole ma molto accoglienti
124|L'albergo è ottimo...|L'albergo è ottimo e ben tenuto. Camere piccole ma molto confortevoli.|Housekeeping|pos|l albergo é ottimo e ben tenuto camere piccole ma molto confortevoli
125|Ottimo B&B con...|Ottimo B&B con ottimo personale. Stanza pulita e ben sistemata|Housekeeping|pos|ottimo b&b con ottimo personale stanza pulita e ben sistemata
126|Ottimo B&B con...|Ottimo B&B con ottimo personale. Stanza pulita e ben attrezzata.|Housekeeping|pos|ottimo b&b con ottimo personale stanza pulita e ben attrezzata
127|Ottimo hotel con...|Ottimo hotel con ottimo personale. Stanza pulita e ben sistemata|Housekeeping|pos|ottimo hotel con ottimo personale stanza pulita e ben sistemata
128|Ottimo hotel con...|Ottimo hotel con ottimo personale. Stanza pulita e ben attrezzata.|Housekeeping|pos|ottimo hotel con ottimo personale stanza pulita e ben attrezzata
129|Ottimo residence con...|Ottimo residence con ottimo personale. Stanza pulita e ben sistemata|Housekeeping|pos|ottimo residence con ottimo personale stanza pulita e ben sistemata
130|Ottimo residence con...|Ottimo residence con ottimo personale. Stanza pulita e ben attrezzata.|Housekeeping|pos|ottimo residence con ottimo personale stanza pulita e ben attrezzata
131|Albergo molto bello,...|Albergo molto bello, inoltre la stanza è super pulita e molto accogliente con il suo arredamento moderno.|Housekeeping|pos|albergo molto bello inoltre la stanza é super pulita e molto accogliente con il suo arredamento moderno
132|Soggiorno fantastico in...|Soggiorno fantastico in questo B&B. La camera era molto pulita, nulla da ridire|Housekeeping|pos|soggiorno fantastico in questo b&b la camera era molto pulita nulla da ridire
133|Soggiorno fantastico in...|Soggiorno fantastico in questo B&B. La camera era molto pulita, nulla da obiettare!|Housekeeping|pos|soggiorno fantastico in questo b&b la camera era molto pulita nulla da obiettare
134|Soggiorno fantastico in...|Soggiorno fantastico in questo B&B. La stanza era molto pulita, nulla da ridire|Housekeeping|pos|soggiorno fantastico in questo b&b la stanza era molto pulita nulla da ridire
135|Soggiorno fantastico in...|Soggiorno fantastico in questo B&B. La stanza era molto pulita, nulla da obiettare!|Housekeeping|pos|soggiorno fantastico in questo b&b la stanza era molto pulita nulla da obiettare
136|Camera PERFETTA, pulitissima...|Camera PERFETTA, pulitissima e dotata di ogni comfort ma proprio tutti!|Housekeeping|pos|camera perfetta pulitissima e dotata di ogni comfort ma proprio tutti
137|Camera PERFETTA, pulitissima...|Camera PERFETTA, pulitissima e dotata di ogni comodità, ma proprio tutti!|Housekeeping|pos|camera perfetta pulitissima e dotata di ogni comodità ma proprio tutti
138|Bagno in camera...|Bagno in camera super attrezzato. Struttura 10, pulizia 10.|Housekeeping|pos|bagno in camera super attrezzato struttura 10 pulizia 10
139|Struttura ed arredamento...|Struttura ed arredamento nuovi, camera pulita ed ordinata, accoglienza familiare.|Housekeeping|pos|struttura ed arredamento nuovi camera pulita ed ordinata accoglienza familiare
140|Struttura ed arredamento...|Struttura ed arredamento nuovi, stanza pulita ed ordinata, accoglienza familiare.|Housekeeping|pos|struttura ed arredamento nuovi stanza pulita ed ordinata accoglienza familiare
141|Albergo fantastico pulizia...|Albergo fantastico pulizia eccellente. Promosso in pieno|Housekeeping|pos|albergo fantastico pulizia eccellente promosso in pieno
142|Albergo fantastico pulizia...|Albergo fantastico pulizia eccellente. Promosso in toto!|Housekeeping|pos|albergo fantastico pulizia eccellente promosso in toto
143|Albergo stupendo, pulizia...|Albergo stupendo, pulizia eccellente. Promosso in pieno|Housekeeping|pos|albergo stupendo pulizia eccellente promosso in pieno
144|Albergo stupendo, pulizia...|Albergo stupendo, pulizia eccellente. Promosso in toto!|Housekeeping|pos|albergo stupendo pulizia eccellente promosso in toto
145|Personale di pulizia...|Personale di pulizia sempre disponibile per ogni esigenza|Housekeeping|pos|personale di pulizia sempre disponibile per ogni esigenza
146|Personale di pulizia...|Personale di pulizia sempre disponibile per ogni necessità.|Housekeeping|pos|personale di pulizia sempre disponibile per ogni necessità
147|Personale di pulizia...|Personale di pulizia sempre pronto per ogni esigenza|Housekeeping|pos|personale di pulizia sempre pronto per ogni esigenza
148|Personale di pulizia...|Personale di pulizia sempre pronto per ogni necessità.|Housekeeping|pos|personale di pulizia sempre pronto per ogni necessità
149|Residence nuovo e...|Residence nuovo e ben gestito. Pulizia e cordialità. Pomosso a pieni voti.|Housekeeping|pos|residence nuovo e ben gestito pulizia e cordialità pomosso a pieni voti
150|La camera è...|La camera è davvero spaziosa e ha buone finestre spesse per garantire una notte di sonno tranquilla.|Housekeeping|pos|la camera é davvero spaziosa e ha buone finestre spesse per garantire una notte di sonno tranquilla
151|Sistemazione perfetta, camera...|Sistemazione perfetta, camera pulita e con letto molto comodo! Voto 10.|Housekeeping|pos|sistemazione perfetta camera pulita e con letto molto comodo voto 10
152|Struttura super pulita...|Struttura super pulita e molto ben attrezzata. voto 9 su 10!|Housekeeping|pos|struttura super pulita e molto ben attrezzata voto 9 su 10
153|Fantastico B&B, pulitissimo,...|Fantastico B&B, pulitissimo, super organizzato e camere molto belle.|Housekeeping|pos|fantastico b&b pulitissimo super organizzato e camere molto belle
154|ottimo B&B, pulitissimo,...|ottimo B&B, pulitissimo, super organizzato e camere molto belle.|Housekeeping|pos|ottimo b&b pulitissimo super organizzato e camere molto belle
155|stupendo B&B, pulitissimo,...|stupendo B&B, pulitissimo, super organizzato e camere molto belle.|Housekeeping|pos|stupendo b&b pulitissimo super organizzato e camere molto belle
156|Una struttura nuova...|Una struttura nuova e in centro città. Camera perfetta e pulitissima.|Housekeeping|pos|una struttura nuova e in centro città camera perfetta e pulitissima
157|Una struttura nuova...|Una struttura nuova e in centro città. Camera ottima e pulitissima.|Housekeeping|pos|una struttura nuova e in centro città camera ottima e pulitissima
158|Struttura 9, pulizia...|Struttura 9, pulizia 10. Promosso!|Housekeeping|pos|struttura 9 pulizia 10 promosso
159|L'albergo è accogliente...|L'albergo è accogliente e la camera luminosa, molto pulita e con un bel balconcino alla francese.|Housekeeping|pos|l albergo é accogliente e la camera luminosa molto pulita e con un bel balconcino alla francese
160|L'albergo è accogliente...|L'albergo è accogliente e la camera luminosa, ben pulita e con un bel balconcino alla francese.|Housekeeping|pos|l albergo é accogliente e la camera luminosa ben pulita e con un bel balconcino alla francese
161|Doccia e camera...|Doccia e camera molto comode ed è evidente la recente ristrutturazione dell'albergo.|Housekeeping|pos|doccia e camera molto comode ed é evidente la recente ristrutturazione dell albergo
162|Doccia e camera...|Doccia e camera molto comode ed è evidente la recente risistemazione dell'albergo.|Housekeeping|pos|doccia e camera molto comode ed é evidente la recente risistemazione dell albergo
163|Accoglienza ttima camere...|Accoglienza ttima camere molto belle e pulizia impeccabile! Ritorneremo sicuramente.|Housekeeping|pos|accoglienza ttima camere molto belle e pulizia impeccabile ritorneremo sicuramente
